sig_low_winner_vol,n,avg_ret,med_ret,std_ret,win_rate,avg_ret_pct,signal,sig_high_winner_shrink,sig_break_cost95_macd,sig_winner_surge_vol,sig_winner_crash_rsi,sig_chip_tight_macd
False,2957732,0.0009,0.0,0.0345,0.4841,0.0909,极低获利比例+放量 (winner<5% & vol>1.5),,,,,
True,22067,0.0064,0.0054,0.0445,0.5675,0.6444,极低获利比例+放量 (winner<5% & vol>1.5),,,,,
,2945682,0.0009,0.0,0.0345,0.4846,0.0892,极高获利比例+缩量 (winner>90% & vol<0.8),False,,,,
,34117,0.0059,0.0,0.0393,0.4956,0.5905,极高获利比例+缩量 (winner>90% & vol<0.8),True,,,,
,2740140,0.0008,0.0,0.0331,0.4862,0.0787,突破95%成本线+MACD多头,,False,,,
,239659,0.0028,-0.0016,0.0485,0.4672,0.2811,突破95%成本线+MACD多头,,True,,,
,2883223,0.0008,0.0,0.034,0.4854,0.0849,获利比例急升+放量 (chg>20pp & vol>1.5),,,False,,
,96576,0.004,-0.0021,0.0494,0.4632,0.3959,获利比例急升+放量 (chg>20pp & vol>1.5),,,True,,
,2943343,0.001,0.0,0.0345,0.4845,0.097,获利比例急降+RSI超卖 (chg<-20pp & RSI<30),,,,False,
,36456,-0.0006,0.0005,0.0426,0.5028,-0.0642,获利比例急降+RSI超卖 (chg<-20pp & RSI<30),,,,True,
,2767046,0.001,0.0,0.0348,0.4867,0.0979,筹码集中+MACD多头 (spread<15% & winner>50%),,,,,False
,212753,0.0006,-0.0014,0.0319,0.458,0.0575,筹码集中+MACD多头 (spread<15% & winner>50%),,,,,True
