combo,n,avg_ret,med_ret,win_rate,std_ret
L7: 首板涨停+主力大幅流入,1135,4.067,3.581,69.07,6.174
L10: 底部共振 (boll下轨+RSI超卖+主力流入),80466,-0.046,0.096,50.85,3.652
L5: 低获利+主力流入+RSI超卖,58038,-0.019,0.084,50.69,3.564
L3: 北向加仓+主力流入+MACD多头,6148,0.034,-0.073,47.19,3.613
L8: 高获利+筹码集中+MACD多头+缩量,18344,0.197,-0.097,46.34,2.948
L1: 主力流入+MACD多头+筹码集中,206681,0.091,-0.145,45.83,3.357
L4: 融资增加+主力流入+均线多头,61324,0.119,-0.327,45.09,4.54
L2: 超大单流入+放量+均线多头,58464,0.179,-0.385,44.75,5.011
L9: 北向加仓+超大单流入+筹码集中,2740,-0.155,-0.316,44.67,3.561
L6: 北向加仓+融资增加+放量,1055,-0.039,-0.429,44.64,4.401
S4: 跌停+主力大幅流出,243,-6.181,-9.73,15.23,5.836
S1: 主力流出+RSI超买+近布林上轨,1,,,,
S2: 北向减仓+主力流出+高获利比例,0,,,,
S3: 融资下降+主力流出+近上轨,0,,,,
