net_signal,n,avg_ret,med_ret,std_ret,win_rate,avg_ret_pct
-4,2,0.0149,0.0149,0.024,0.5,1.4918
-3,147,-0.0157,-0.0133,0.065,0.381,-1.5699
-2,6138,0.0022,-0.001,0.0564,0.4756,0.2223
-1,79181,0.0016,0.0,0.0482,0.4845,0.1619
0,511949,0.0006,0.0,0.0368,0.4903,0.0579
1,909867,0.0008,0.0,0.033,0.4895,0.0837
2,800565,0.0011,0.0,0.0331,0.4844,0.1107
3,465553,0.001,-0.0004,0.0338,0.4756,0.0979
4,166253,0.001,-0.0012,0.0361,0.4689,0.1036
5,40488,0.0009,-0.0017,0.0386,0.4662,0.0877
6,4865,0.0015,-0.0018,0.0428,0.4742,0.1519
7,110,0.0153,0.0107,0.0594,0.6,1.5307
8,3,0.0423,0.0298,0.0516,0.6667,4.2251
