ts_code,name,signals,count
000720.SZ,新能泰山,S1_首板涨停+主力大幅流入 + S2_主力净流入5~10pct + S4_一字涨停 + S9_大宗溢价>5pct,4
603759.SH,海天股份,S1_首板涨停+主力大幅流入 + S2_主力净流入5~10pct + S4_一字涨停 + S9_大宗溢价>5pct,4
002309.SZ,中利集团,S2_主力净流入5~10pct + S4_一字涨停 + S9_大宗溢价>5pct,3
300335.SZ,迪森股份,S4_一字涨停 + S5_机构龙虎榜净买入 + S8_多因子共振≥6,3
000601.SZ,韶能股份,S5_机构龙虎榜净买入 + S8_多因子共振≥6,2
600510.SH,黑牡丹,S4_一字涨停 + S5_机构龙虎榜净买入,2
603868.SH,飞科电器,S3_极低获利+放量 + S7_底部共振,2
603100.SH,川仪股份,S3_极低获利+放量 + S7_底部共振,2
600698.SH,湖南天雁,S4_一字涨停 + S5_机构龙虎榜净买入,2
600666.SH,奥瑞德,S4_一字涨停 + S5_机构龙虎榜净买入,2
301226.SZ,祥明智能,S4_一字涨停 + S5_机构龙虎榜净买入,2
600096.SH,云天化,S5_机构龙虎榜净买入 + S7_底部共振,2
000677.SZ,恒天海龙,S4_一字涨停 + S5_机构龙虎榜净买入,2
300385.SZ,雪浪环境,S4_一字涨停 + S5_机构龙虎榜净买入,2
002698.SZ,博实股份,S3_极低获利+放量 + S7_底部共振,2
002003.SZ,伟星股份,S3_极低获利+放量 + S7_底部共振,2
000688.SZ,国城矿业,S4_一字涨停 + S5_机构龙虎榜净买入,2
688551.SH,科威尔,S4_一字涨停 + S5_机构龙虎榜净买入,2
