trade_date,ts_code,name,signal,direction,close,pct_chg,volume_ratio,turnover_rate_f,main_net_pct,winner_rate,rsi_6,bull_count
20260324,000720.SZ,新能泰山,S1_首板涨停+主力大幅流入,LONG,4.14,10.1064,0.53,3.5372,5.216073376024159,56.55,57.852,3
20260324,603759.SH,海天股份,S1_首板涨停+主力大幅流入,LONG,10.13,9.9891,1.08,3.0554,6.572586738261825,15.78,53.311,2
20260324,000720.SZ,新能泰山,S2_主力净流入5~10pct,LONG,4.14,10.1064,0.53,3.5372,5.216073376024159,56.55,57.852,3
20260324,002309.SZ,中利集团,S2_主力净流入5~10pct,LONG,4.61,10.0239,0.33,2.5469,7.310811372280914,97.32,92.058,4
20260324,603759.SH,海天股份,S2_主力净流入5~10pct,LONG,10.13,9.9891,1.08,3.0554,6.572586738261825,15.78,53.311,2
20260324,920344.BJ,三元基因,S3_极低获利+放量,LONG,19.73,5.4516,1.56,1.9359,,2.91,30.505,2
20260324,605388.SH,均瑶健康,S3_极低获利+放量,LONG,6.32,4.8093,1.53,3.6685,-0.15857566977062218,4.73,40.495,2
20260324,002907.SZ,华森制药,S3_极低获利+放量,LONG,13.28,3.1056,1.69,3.2529,-1.2985366754968883,3.95,32.361,2
20260324,920039.BJ,国义招标,S3_极低获利+放量,LONG,9.44,1.8339,1.6,2.7639,,2.63,18.478,2
20260324,603868.SH,飞科电器,S3_极低获利+放量,LONG,33.0,0.9174,1.57,4.6167,0.4073253113785096,1.92,17.779,4
20260324,300741.SZ,华宝股份,S3_极低获利+放量,LONG,15.38,0.7864,1.53,4.7899,-1.2583036431240775,4.51,14.622,2
20260324,002997.SZ,瑞鹄模具,S3_极低获利+放量,LONG,30.16,0.6004,1.59,2.566,-2.2679408100443057,3.37,20.651,2
20260324,000736.SZ,*ST中地,S3_极低获利+放量,LONG,4.78,0.2096,2.09,3.8334,-0.9493206801206496,4.28,11.883,2
20260324,002698.SZ,博实股份,S3_极低获利+放量,LONG,13.39,0.0747,1.77,2.4853,0.7019866471258753,4.14,9.852,4
