sig_num_down_bull_ma,n,avg_ret,med_ret,std_ret,win_rate,avg_ret_pct,signal,sig_num_surge_high_turn,sig_num_down_rsi_neutral,sig_num_up_boll_upper,sig_num_big_drop_macd
False,128663,0.0226,0.0,0.1892,0.446,2.2625,户数下降+均线多头 (chg<-5% & MA5>MA20>MA60),,,,
True,8002,0.028,0.0,0.2191,0.4406,2.7961,户数下降+均线多头 (chg<-5% & MA5>MA20>MA60),,,,
,131450,0.0237,0.0,0.1899,0.4498,2.3664,户数骤增+高换手 (chg>20% & turn>5%),False,,,
,5215,0.0046,-0.0027,0.219,0.3421,0.4629,户数骤增+高换手 (chg>20% & turn>5%),True,,,
,129203,0.021,0.0,0.1832,0.4455,2.0957,户数下降+RSI中性 (chg<-10% & 30<RSI<70),,False,,
,7462,0.0572,0.0,0.2944,0.4495,5.7222,户数下降+RSI中性 (chg<-10% & 30<RSI<70),,True,,
,134705,0.0235,0.0,0.1911,0.4475,2.3501,户数增加+布林上轨 (chg>10% & near upper),,,False,
,1960,-0.0158,-0.0199,0.1838,0.3204,-1.5768,户数增加+布林上轨 (chg>10% & near upper),,,True,
,134365,0.0222,0.0,0.1884,0.4457,2.2155,户数大幅下降+MACD金叉 (chg<-15%),,,,False
,2300,0.0687,0.0,0.308,0.447,6.866,户数大幅下降+MACD金叉 (chg<-15%),,,,True
