sig_exec_sell_kdj_death,n,avg_ret,med_ret,std_ret,win_rate,avg_ret_pct,signal,sig_buy_bottom,sig_big_sell_high_vol,sig_buy_macd_golden,sig_sell_rsi_overbought
False,18352,0.0526,0.0,0.2718,0.2678,5.2562,高管减持+KDJ死叉,,,,
True,2054,0.0374,0.0,0.2058,0.1801,3.7375,高管减持+KDJ死叉,,,,
,19593,0.0494,0.0,0.2514,0.2584,4.9363,增持+底部形态 (near boll_lower & CCI<-100),False,,,
,813,0.0913,0.0,0.5004,0.2731,9.1304,增持+底部形态 (near boll_lower & CCI<-100),True,,,
,20154,0.0505,0.0,0.262,0.2573,5.0452,大比例减持+放量 (ratio>1% & vol_ratio>2),,False,,
,252,0.0976,0.0,0.4863,0.3929,9.7592,大比例减持+放量 (ratio>1% & vol_ratio>2),,True,,
,17513,0.0493,0.0,0.2562,0.265,4.9319,增持+MACD金叉,,,False,
,2893,0.0614,0.0,0.3185,0.2223,6.1417,增持+MACD金叉,,,True,
,17574,0.0533,0.0,0.265,0.2604,5.3339,减持+RSI超买 (RSI6>70),,,,False
,2832,0.0367,0.0,0.2711,0.2496,3.6728,减持+RSI超买 (RSI6>70),,,,True
