sig_rz_surge_vol,n,avg_ret,med_ret,std_ret,win_rate,avg_ret_pct,signal,sig_rq_surge_high,sig_rz_buy_heavy_macd,sig_rz_repay_rsi_low,sig_rz_streak_up
False,1894906,0.0009,0.0,0.0327,0.4824,0.0896,融资余额大增+放量 (rzye_chg>5% & vol_ratio>1.5),,,,
True,55961,0.0,-0.005,0.06,0.4398,0.0,融资余额大增+放量 (rzye_chg>5% & vol_ratio>1.5),,,,
,1900896,0.0009,0.0,0.0338,0.4819,0.0892,融券余量大增+高位 (rqyl_chg>20% & near boll_upper),False,,,
,49971,0.0,-0.0018,0.0352,0.4528,0.0046,融券余量大增+高位 (rqyl_chg>20% & near boll_upper),True,,,
,965774,0.0003,0.0,0.0317,0.4893,0.0332,融资买入占比高+MACD多头 (rzmre>15%),,False,,
,985093,0.0014,-0.0006,0.0358,0.4732,0.1398,融资买入占比高+MACD多头 (rzmre>15%),,True,,
,1788675,0.001,0.0,0.0337,0.4781,0.0992,融资净偿还+RSI超卖,,,False,
,162192,-0.0005,0.0012,0.0357,0.5147,-0.0467,融资净偿还+RSI超卖,,,True,
,1882671,0.0009,0.0,0.033,0.4822,0.0906,融资连续增长 (连续2日>3%),,,,False
,68196,-0.0001,-0.0033,0.052,0.453,-0.0099,融资连续增长 (连续2日>3%),,,,True
