sig_elg_inflow_vol,n,avg_ret,med_ret,std_ret,win_rate,avg_ret_pct,signal,sig_main_outflow_shrink,sig_flow_reversal_bull,sig_elg_streak_macd,sig_main_dump_rsi_low,sig_main_surge_boll_high
False,2571260,0.0007,0.0,0.0319,0.487,0.0734,超大单净流入+放量 (elg_net>0 & vol_ratio>1.5),,,,,
True,168767,0.0024,-0.0022,0.0453,0.4616,0.241,超大单净流入+放量 (elg_net>0 & vol_ratio>1.5),,,,,
,2121943,0.001,0.0,0.0338,0.4844,0.1033,主力净流出+缩量 (main<0 & vol_ratio<0.8),False,,,,
,618084,0.0002,0.0,0.0294,0.4889,0.0167,主力净流出+缩量 (main<0 & vol_ratio<0.8),True,,,,
,2130435,0.0008,0.0,0.0328,0.4877,0.0808,资金流向反转 (昨流出今流入),,False,,,
,609592,0.0009,0.0,0.033,0.4776,0.0942,资金流向反转 (昨流出今流入),,True,,,
,2544685,0.0007,0.0,0.0322,0.4866,0.0699,连续超大单流入+MACD多头,,,False,,
,195342,0.0026,-0.001,0.04,0.47,0.2647,连续超大单流入+MACD多头,,,True,,
,2739989,0.0008,0.0,0.0328,0.4855,0.0838,主力大幅流出+RSI超卖 (pct<-10% & RSI<30),,,,False,
,38,-0.0507,-0.0497,0.0088,0.0,-5.0708,主力大幅流出+RSI超卖 (pct<-10% & RSI<30),,,,True,
,2740014,0.0008,0.0,0.0328,0.4854,0.0837,主力大幅流入+近布林上轨,,,,,False
,13,0.0579,0.0504,0.0188,1.0,5.7877,主力大幅流入+近布林上轨,,,,,True
