sig_nb_add_macd,n,avg_ret,med_ret,std_ret,win_rate,avg_ret_pct,signal,sig_nb_reduce_high,sig_nb_high_hold_bottom,sig_nb_streak_add_bull,sig_nb_dump_vol
False,461223,0.002,-0.0018,0.0551,0.4552,0.2038,北向大幅加仓+MACD多头 (chg>0.3pp),,,,
True,4262,0.0405,0.0039,0.1819,0.5326,4.0546,北向大幅加仓+MACD多头 (chg>0.3pp),,,,
,459939,0.0022,-0.0017,0.0558,0.4562,0.2202,北向减仓+高位 (chg<-0.2pp & near upper),False,,,
,5546,0.018,-0.0072,0.1426,0.4313,1.7998,北向减仓+高位 (chg<-0.2pp & near upper),True,,,
,460107,0.0024,-0.0017,0.0578,0.4557,0.2395,北向高持仓+底部 (ratio>5% & near lower),,False,,
,5378,0.002,-0.0008,0.039,0.474,0.1979,北向高持仓+底部 (ratio>5% & near lower),,True,,
,461974,0.0023,-0.0018,0.0567,0.4555,0.2279,北向连续加仓+均线多头,,,False,
,3511,0.0171,0.0006,0.1314,0.5038,1.7063,北向连续加仓+均线多头,,,True,
,464895,0.0024,-0.0017,0.0575,0.456,0.239,北向大幅减仓+放量 (chg<-0.5pp & vol>2),,,,False
,590,0.0026,-0.0151,0.1172,0.3831,0.2589,北向大幅减仓+放量 (chg<-0.5pp & vol>2),,,,True
